Epoch,Avg_Turnaround
1,492.79
2,531.30
3,495.99
4,500.84
5,483.12
6,494.53
7,501.15
8,509.75
9,482.95
10,475.74
11,502.40
12,480.16
13,509.38
14,513.53
15,476.73
16,481.89
17,495.43
18,534.55
19,520.94
20,506.39
1,559.48
2,758.05
3,869.79
4,794.65
5,757.83
6,1133.39
7,878.02
8,1168.40
9,1289.03
10,1158.73
11,1155.49
12,829.39
13,787.28
14,895.34
15,1233.42
16,1288.45
17,923.53
18,923.29
19,874.38
1,485.10
2,497.53
3,482.81
4,488.65
5,475.87
6,486.49
7,487.05
8,502.79
9,479.97
10,474.27
11,499.91
12,474.49
13,493.86
14,504.45
15,477.06
16,468.92
17,495.89
18,497.43
19,487.90
20,487.58
